,rhabdomyosarcoma (alveolar)_vs_rest,rhabdomyosarcoma (embryonal)_vs_rest,synovial sarcoma_vs_rest,myxoid liposarcoma_vs_rest,small blue round cell tumour with BCOR alteration_vs_rest,small blue round cell tumour with CIC alteration_vs_rest,Ewing´s sarcoma_vs_rest,fibrous dysplasia_vs_rest,chordoma_vs_rest,osteosarcoma (high grade)_vs_rest,undifferentiated sarcoma_vs_rest,chondrosarcoma (IDH group A)_vs_rest,chondrosarcoma (group B)_vs_rest,chondrosarcoma (mesenchymal)_vs_rest,chondrosarcoma (group A)_vs_rest,extraskeletal myxoid chondrosarcoma_vs_rest,desmoplastic small round cell tumour_vs_rest,alveolar soft part sarcoma_vs_rest,sarcoma (RMS-like)_vs_rest,solitary fibrous tumour_vs_rest,sarcoma (MPNST-like)_vs_rest,angiosarcoma_vs_rest,gastrointestinal stromal tumour_vs_rest,leiomyosarcoma_vs_rest,control (reactive tissue)_vs_rest,chordoma (dedifferentiated)_vs_rest,lipoma_vs_rest,dermatofibrosarcoma protuberans_vs_rest,giant cell tumour of bone_vs_rest,malignant peripheral nerve sheath tumour_vs_rest,osteoblastoma_vs_rest,desmoid-type fibromatosis_vs_rest,low-grade fibromyxoid sarcoma_vs_rest,neurofibroma_vs_rest,neurofibroma (plexiform)_vs_rest,schwannoma_vs_rest,infantile fibrosarcoma_vs_rest,rhabdomyosarcoma (MYOD1)_vs_rest,Kaposi sarcoma_vs_rest,melanoma (cutaneous)_vs_rest,sclerosing epithelioid fibrosarcoma_vs_rest,well- / dedifferentiated liposarcoma_vs_rest,control (muscle tissue)_vs_rest,malignant rhabdoid tumour_vs_rest,chondrosarcoma (clear cell)_vs_rest,chondroblastoma_vs_rest,chondrosarcoma (IDH group B)_vs_rest,squamous cell carcinoma (cutaneous)_vs_rest,endometrial stromal sarcoma (low grade)_vs_rest,atypical fibroxanthoma / pleomorphic dermal sarcoma_vs_rest,clear cell sarcoma of the kidney_vs_rest,epithelioid sarcoma_vs_rest,myositis ossificans_vs_rest,epithelioid haemangioendothelioma_vs_rest,inflammatory myofibroblastic tumour_vs_rest,nodular fasciitis_vs_rest,angiomatoid fibrous histiocytoma_vs_rest,myositis proliferans_vs_rest,ossifying fibromyxoid tumour_vs_rest,Langerhans cell histiocytosis_vs_rest,leiomyoma_vs_rest,clear cell sarcoma of soft parts_vs_rest,angioleiomyoma / myopericytoma_vs_rest,endometrial stromal sarcoma (high grade)_vs_rest,control (blood)_vs_rest
cosg,2.8960788249969482,2.9078266620635986,2.87103533744812,3.0504817962646484,2.956627130508423,2.8389992713928223,2.905391216278076,2.9595491886138916,2.924497127532959,2.8275961875915527,3.0123584270477295,3.0167441368103027,2.896606683731079,2.844369649887085,2.8594887256622314,2.901458263397217,2.8914501667022705,3.0518674850463867,2.944976329803467,2.941757917404175,2.8794071674346924,2.8317224979400635,3.004197120666504,2.9306836128234863,2.8174850940704346,2.8362202644348145,2.7936623096466064,2.7944352626800537,2.7636091709136963,2.8672122955322266,2.98091197013855,2.883699417114258,2.9928386211395264,3.015961170196533,2.9082391262054443,3.0005345344543457,2.8514764308929443,2.9710299968719482,3.0312771797180176,2.895106077194214,3.006544351577759,2.9580914974212646,2.804471254348755,2.8308708667755127,2.8278393745422363,2.817981243133545,2.9517922401428223,2.7961137294769287,2.847557783126831,2.7768142223358154,2.886484384536743,2.7721760272979736,3.062793254852295,2.980398654937744,2.863757371902466,2.9156999588012695,2.8049263954162598,2.8565926551818848,3.0103845596313477,2.8017566204071045,3.0043413639068604,2.8856470584869385,2.8434898853302,2.823166847229004,2.832528829574585
scanpy_wilcoxon,5.893603086471558,5.756242513656616,5.85245943069458,5.831052303314209,5.958007097244263,5.923460960388184,6.011480093002319,6.019131898880005,6.079487085342407,5.969616651535034,6.211884260177612,5.859421730041504,6.0321714878082275,5.922007083892822,5.903434753417969,6.0435709953308105,5.925573825836182,5.878644704818726,6.06621241569519,5.863921403884888,5.844650745391846,5.934070825576782,6.108555555343628,6.0952277183532715,5.86806058883667,5.969423055648804,5.795345306396484,5.88693904876709,5.917500972747803,5.916780948638916,5.98137354850769,6.131634473800659,6.02843165397644,5.858686923980713,5.963256359100342,6.139324188232422,6.026468515396118,5.999880790710449,6.076163291931152,6.0736706256866455,5.8363659381866455,5.988318920135498,5.858901739120483,6.2128520011901855,6.000969886779785,5.8934102058410645,5.9429566860198975,5.801466226577759,5.8883514404296875,5.875841856002808,5.922188758850098,5.943700551986694,5.816291809082031,5.979189872741699,5.920060396194458,5.891185522079468,5.783682346343994,5.900803327560425,5.855304956436157,5.873718023300171,6.094115257263184,5.989957332611084,5.974668025970459,5.931035995483398,5.698143720626831
scanpy_t-test,4.023847341537476,4.018833160400391,4.064065933227539,4.033966302871704,4.03352165222168,4.030215501785278,4.07368803024292,4.098020792007446,4.148396253585815,4.106902837753296,4.069578170776367,4.048048496246338,4.024066925048828,4.012791872024536,4.037340402603149,4.070730924606323,4.105264663696289,4.083775043487549,4.121819257736206,4.1554906368255615,4.033222198486328,4.054934501647949,4.022435665130615,4.111746788024902,4.021074533462524,4.039174556732178,4.048970460891724,4.020087242126465,4.072215557098389,4.093499422073364,4.063985586166382,4.140537738800049,4.048254489898682,4.070335865020752,4.009544610977173,4.094422817230225,4.079061269760132,4.027251243591309,4.058772087097168,4.097501039505005,4.039223909378052,4.041629314422607,4.0637595653533936,4.061585187911987,4.074533939361572,4.044477701187134,4.05941104888916,3.9841134548187256,4.041006326675415,4.0579938888549805,4.036128044128418,4.129867315292358,4.113854646682739,4.05057954788208,4.088361740112305,4.034098863601685,4.139240264892578,4.076462030410767,4.049400806427002,4.145650863647461,4.130618572235107,4.040472030639648,4.041447401046753,4.027617692947388,4.033402442932129
yomix,0.33338260650634766,0.2993640899658203,0.3226478099822998,0.3070871829986572,0.27498435974121094,0.2918574810028076,0.33777356147766113,0.30094122886657715,0.3500838279724121,0.33586645126342773,0.29540276527404785,0.30634284019470215,0.28878235816955566,0.29573535919189453,0.29495692253112793,0.2917966842651367,0.317873477935791,0.2932627201080322,0.30784177780151367,0.30080342292785645,0.2887735366821289,0.32311296463012695,0.32671570777893066,0.30164098739624023,0.29085445404052734,0.285109281539917,0.29015421867370605,0.3148205280303955,0.2972383499145508,0.3208808898925781,0.29915452003479004,0.29455995559692383,0.29444217681884766,0.28758835792541504,0.28382325172424316,0.29950976371765137,0.30840277671813965,0.28704261779785156,0.2865941524505615,0.29157519340515137,0.2808704376220703,0.2970588207244873,0.2899329662322998,0.3105480670928955,0.2857980728149414,0.2981874942779541,0.28594136238098145,0.31972432136535645,0.3026454448699951,0.28789544105529785,0.28702569007873535,0.30822014808654785,0.29090237617492676,0.29016685485839844,0.29509758949279785,0.2891814708709717,0.28812479972839355,0.30400967597961426,0.2982194423675537,0.309096097946167,0.3018946647644043,0.2827143669128418,0.291412353515625,0.28673768043518066,0.29015159606933594
