,3_vs_rest,9_vs_rest,7_vs_rest,4_vs_rest,5_vs_rest,1_vs_rest,8_vs_rest,10_vs_rest,0_vs_rest,6_vs_rest,2_vs_rest,11_vs_rest
cosg,0.2301795482635498,0.21166610717773438,0.20505142211914062,0.2215290069580078,0.24904704093933105,0.2151801586151123,0.22154903411865234,0.2511448860168457,0.22748064994812012,0.1842360496520996,0.2615087032318115,0.16906309127807617
scanpy_wilcoxon,1.5445897579193115,1.304546594619751,1.304185152053833,1.3121616840362549,1.339071273803711,0.8435509204864502,1.321014642715454,0.8653669357299805,1.332759141921997,0.4272806644439697,1.2690818309783936,0.3754122257232666
scanpy_t-test,0.1347661018371582,0.14382505416870117,0.15942621231079102,0.16846919059753418,0.19091796875,0.19318771362304688,0.1889052391052246,0.21278786659240723,0.1751418113708496,0.17548155784606934,0.14048981666564941,0.13360095024108887
yomix,0.22535967826843262,0.20863819122314453,0.22106575965881348,0.21281027793884277,0.24354267120361328,0.317399263381958,0.23934221267700195,0.2839775085449219,0.35743284225463867,0.17886066436767578,0.22122550010681152,0.17414188385009766
