,CD8 T_vs_rest,B_vs_rest,CD4 T_vs_rest,FCGR3A Monocytes_vs_rest,NK_vs_rest,CD14 Monocytes_vs_rest,Dendritic_vs_rest,Megakaryocytes_vs_rest
cosg,0.21187448501586914,0.26198410987854004,0.20720887184143066,0.20700716972351074,0.20792436599731445,0.2047128677368164,0.20799779891967773,0.20649242401123047
scanpy_wilcoxon,0.640312671661377,0.4973602294921875,0.5128183364868164,0.48787641525268555,0.49249887466430664,0.45818448066711426,0.4494044780731201,0.48779869079589844
scanpy_t-test,0.2798004150390625,0.28126049041748047,0.28719592094421387,0.27634119987487793,0.2850468158721924,0.2694377899169922,0.2723228931427002,0.2700471878051758
yomix,0.04420733451843262,0.04329633712768555,0.07127141952514648,0.037056922912597656,0.03826594352722168,0.04552626609802246,0.03330254554748535,0.03209233283996582
