,T_ACC_vs_rest,T_BLCA_vs_rest,T_BRCA_vs_rest,T_CESC_vs_rest,T_CHOL_vs_rest,T_COAD_vs_rest,T_DLBC_vs_rest,T_ESCA_vs_rest,T_GBM_vs_rest,T_HNSC_vs_rest,T_KICH_vs_rest,T_KIRC_vs_rest,T_KIRP_vs_rest,T_LAML_vs_rest,T_LGG_vs_rest,T_LIHC_vs_rest,T_LUAD_vs_rest,T_LUSC_vs_rest,T_MESO_vs_rest,T_OV_vs_rest,T_PAAD_vs_rest,T_PCPG_vs_rest,T_PRAD_vs_rest,T_READ_vs_rest,T_SARC_vs_rest,T_SKCM_vs_rest,T_STAD_vs_rest,T_TGCT_vs_rest,T_THCA_vs_rest,T_THYM_vs_rest,T_UCEC_vs_rest,T_UCS_vs_rest,T_UVM_vs_rest
cosg,0.5132138729095459,0.5455167293548584,0.5158352851867676,0.530719518661499,0.49956822395324707,0.5274393558502197,0.5289225578308105,0.5185031890869141,0.49791717529296875,0.5199284553527832,0.49765968322753906,0.4968240261077881,0.5292720794677734,0.5411121845245361,0.5229759216308594,0.5184471607208252,0.5180621147155762,0.5457289218902588,0.5296695232391357,0.5037198066711426,0.5006351470947266,0.4978933334350586,0.4995765686035156,0.5301558971405029,0.5113406181335449,0.5695710182189941,0.5049581527709961,0.49960899353027344,0.504417896270752,0.4969048500061035,0.5286753177642822,0.5034115314483643,0.5221495628356934
scanpy_wilcoxon,2.991177797317505,2.8399603366851807,2.6187827587127686,2.6406021118164062,2.5843374729156494,2.5819473266601562,2.6053836345672607,2.6162197589874268,2.586256980895996,2.5981764793395996,2.595097303390503,2.585843801498413,2.748945474624634,2.7737810611724854,2.814211130142212,2.768843412399292,2.8077268600463867,2.810940980911255,2.7216477394104004,2.608409881591797,2.6307058334350586,2.7136306762695312,2.7173912525177,2.7861549854278564,2.7449193000793457,2.673039436340332,2.59118390083313,2.568193197250366,2.6993284225463867,2.7110276222229004,2.7377262115478516,2.583872079849243,2.6257476806640625
scanpy_t-test,1.0535428524017334,1.0701892375946045,1.0538256168365479,1.0550780296325684,1.0674128532409668,1.0372157096862793,1.036808967590332,1.0651144981384277,1.044175148010254,1.0405166149139404,1.0483436584472656,1.0466437339782715,1.0791547298431396,1.0632894039154053,1.075873851776123,1.0939738750457764,1.0867295265197754,1.084625482559204,1.0478847026824951,1.0421361923217773,1.0436151027679443,1.0598371028900146,1.0412065982818604,1.133331537246704,1.0566883087158203,1.1433172225952148,1.0431766510009766,1.1052806377410889,1.0492680072784424,1.0661535263061523,1.0646097660064697,1.0585427284240723,1.0494990348815918
yomix,0.16550731658935547,0.17833185195922852,0.19174551963806152,0.1615283489227295,0.13974213600158691,0.16480660438537598,0.14011144638061523,0.15400028228759766,0.1521611213684082,0.16658544540405273,0.14896726608276367,0.1701192855834961,0.16563773155212402,0.15271544456481934,0.18475675582885742,0.16279387474060059,0.17720746994018555,0.17296838760375977,0.14711403846740723,0.16364121437072754,0.14986181259155273,0.15424799919128418,0.1631474494934082,0.16295361518859863,0.16348052024841309,0.1821155548095703,0.16411614418029785,0.15677356719970703,0.16857576370239258,0.15025901794433594,0.17813730239868164,0.15093994140625,0.14705991744995117
