,2_vs_rest,7_vs_rest,4_vs_rest,1_vs_rest,0_vs_rest,6_vs_rest,5_vs_rest,3_vs_rest
cosg,0.009702920913696289,0.010318279266357422,0.010237455368041992,0.010970830917358398,0.011934518814086914,0.01125478744506836,0.011400222778320312,0.010396957397460938
scanpy_wilcoxon,0.21540021896362305,0.055399417877197266,0.0588226318359375,0.06258845329284668,0.06069231033325195,0.06154775619506836,0.05833292007446289,0.05824851989746094
scanpy_t-test,0.042428016662597656,0.036902427673339844,0.0364534854888916,0.0404965877532959,0.04162025451660156,0.04355287551879883,0.04174208641052246,0.047032833099365234
yomix,0.024802446365356445,0.017687082290649414,0.022954702377319336,0.016661882400512695,0.020909547805786133,0.02046036720275879,0.023959875106811523,0.021150588989257812
